Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.08,
auto,auto_skim.Time,,-0.025,
auto,Constant,business,0.448,
bus,Constant,,-0.00414,
bus,bus_skim.[In-Vehicle Time],,-0.025,
bus,bus_skim.[Access Walk Time],,-0.0431,
bus,bus_skim.[Initial Wait Time],,-0.0431,
bus,bus_skim.[Egress Walk Time],,-0.0431,
tnc,auto_skim.Time,,-0.025,
tnc,Constant,business,0.448,
walk,Constant,,3.41,
walk,walk_skim.Time,,-0.108,
walk,iz_skim.IZ,,0.289,
walk,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.96,
bike,Constant,,-2.64,
bike,bike_skim.Time,,-0.108,
bike,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.96,
rail,Constant,,-0.00414,
rail,Constant,,0.55,22 mins bonus
rail,rail_skim.[In-Vehicle Time] * .8,,-0.025,
rail,rail_skim.[Access Walk Time],,-0.0431,
rail,rail_skim.[Initial Wait Time],,-0.0431,
rail,rail_skim.[Egress Walk Time],,-0.0431,
