Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.02,
auto,auto_skim.Time,,-0.025,
bus,Constant,,1.53,
bus,bus_skim.[In-Vehicle Time],,-0.025,
bus,bus_skim.[Access Walk Time],,-0.0743,
bus,bus_skim.[Initial Wait Time],,-0.0743,
bus,bus_skim.[Egress Walk Time],,-0.0743,
tnc,auto_skim.Time,,-0.025,
walk,Constant,,4.53,
walk,walk_skim.Time,,-0.107,
bike,Constant,,-0.579,
bike,bike_skim.Time,,-0.107,
rail,Constant,,1.53,
rail,Constant,,0.55,22 mins bonus
rail,rail_skim.[In-Vehicle Time] * .8,,-0.025,
rail,rail_skim.[Access Walk Time],,-0.0743,
rail,rail_skim.[Initial Wait Time],,-0.0743,
rail,rail_skim.[Egress Walk Time],,-0.0743,
