Alternative,Expression,Segment,Coefficient,Description
auto,Constant,,1.77,
auto,auto_skim.Time,,-0.025,
bus,Constant,,3.41,
bus,bus_skim.[In-Vehicle Time],,-0.025,
bus,bus_skim.Fare,,-1.11,
bus,bus_skim.[Access Walk Time],,-0.0406,
bus,bus_skim.[Initial Wait Time],,-0.0406,
bus,bus_skim.[Egress Walk Time],,-0.0406,
tnc,auto_skim.Time,,-0.025,
walk,Constant,,3.6,
walk,walk_skim.Time,,-0.0811,
walk,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.74,
bike,Constant,,-2.27,
bike,bike_skim.Time,,-0.0811,
bike,se.AreaTypeNum.O = 1 & se.AreaTypeNum.D = 1,,1.74,
rail,Constant,,3.41,
rail,Constant,,0.55,22 mins bonus
rail,rail_skim.[In-Vehicle Time] * .8,,-0.025,
rail,rail_skim.Fare,,-1.11,
rail,rail_skim.[Access Walk Time],,-0.0406,
rail,rail_skim.[Initial Wait Time],,-0.0406,
rail,rail_skim.[Egress Walk Time],,-0.0406,
